ImageIndex,Date,PixelIndex,Latitude,Longitude,Band1,Band2,Band3,Band4,Fire_binary
438,2021-05,1,-12.508231847608629,-76.69043344668131,1003.0,1196.0,1465.0,1727.0,0
438,2021-05,2,-12.508231847608629,-76.6903885309171,981.0,1132.0,1427.0,1758.0,0
438,2021-05,3,-12.508231847608629,-76.6903436151529,927.0,1077.0,1327.0,1817.0,0
438,2021-05,4,-12.508231847608629,-76.69029869938869,881.0,1094.0,1307.0,1944.0,0
438,2021-05,5,-12.508231847608629,-76.69025378362448,876.0,1090.0,1315.0,1906.0,0
438,2021-05,6,-12.508231847608629,-76.69020886786028,878.0,1085.0,1310.0,1849.0,0
438,2021-05,7,-12.508231847608629,-76.69016395209607,889.0,1064.0,1281.0,1816.0,0
438,2021-05,8,-12.508231847608629,-76.69011903633186,890.0,1086.0,1275.0,1813.0,0
438,2021-05,9,-12.508231847608629,-76.69007412056766,908.0,1114.0,1317.0,1812.0,0
438,2021-05,10,-12.508231847608629,-76.69002920480345,916.0,1120.0,1354.0,1800.0,0
438,2021-05,11,-12.508231847608629,-76.68998428903924,935.0,1154.0,1369.0,1797.0,0
438,2021-05,12,-12.508231847608629,-76.68993937327504,941.0,1151.0,1368.0,1795.0,0
438,2021-05,13,-12.508231847608629,-76.68989445751085,909.0,1109.0,1327.0,1783.0,0
438,2021-05,14,-12.508231847608629,-76.68984954174664,876.0,1090.0,1318.0,1788.0,0
438,2021-05,15,-12.508231847608629,-76.68980462598243,880.0,1109.0,1363.0,1831.0,0
438,2021-05,16,-12.508231847608629,-76.68975971021823,905.0,1127.0,1374.0,1873.0,0
438,2021-05,17,-12.508231847608629,-76.68971479445402,906.0,1123.0,1393.0,1879.0,0
438,2021-05,18,-12.508231847608629,-76.68966987868981,882.0,1086.0,1397.0,1856.0,0
438,2021-05,19,-12.508231847608629,-76.6896249629256,880.0,1094.0,1368.0,1801.0,0
438,2021-05,20,-12.508231847608629,-76.6895800471614,906.0,1161.0,1357.0,1700.0,0
438,2021-05,21,-12.508231847608629,-76.6895351313972,942.0,1184.0,1358.0,1599.0,0
438,2021-05,22,-12.508231847608629,-76.68949021563299,945.0,1155.0,1326.0,1516.0,0
438,2021-05,23,-12.508231847608629,-76.68944529986878,914.0,1096.0,1265.0,1453.0,0
438,2021-05,24,-12.508231847608629,-76.68940038410457,880.0,1058.0,1214.0,1383.0,0
438,2021-05,25,-12.508231847608629,-76.68935546834037,857.0,1031.0,1187.0,1293.0,0
438,2021-05,26,-12.508231847608629,-76.68931055257616,847.0,1000.0,1153.0,1250.0,0
438,2021-05,27,-12.508231847608629,-76.68926563681195,821.0,977.0,1095.0,1206.0,0
438,2021-05,28,-12.508231847608629,-76.68922072104775,807.0,955.0,1067.0,1177.0,0
438,2021-05,29,-12.508231847608629,-76.68917580528354,805.0,942.0,1063.0,1153.0,0
438,2021-05,30,-12.508231847608629,-76.68913088951933,793.0,937.0,1051.0,1120.0,0
438,2021-05,31,-12.508231847608629,-76.68908597375513,791.0,928.0,1028.0,1094.0,0
438,2021-05,32,-12.508231847608629,-76.68904105799092,772.0,917.0,1009.0,1076.0,0
438,2021-05,33,-12.508231847608629,-76.68899614222671,762.0,903.0,993.0,1062.0,0
438,2021-05,34,-12.508231847608629,-76.6889512264625,759.0,896.0,967.0,1063.0,0
438,2021-05,35,-12.508231847608629,-76.68890631069831,755.0,884.0,943.0,1085.0,0
438,2021-05,36,-12.508231847608629,-76.68886139493411,756.0,894.0,940.0,1112.0,0
438,2021-05,37,-12.508231847608629,-76.6888164791699,758.0,930.0,968.0,1137.0,0
438,2021-05,38,-12.508231847608629,-76.6887715634057,766.0,964.0,997.0,1161.0,0
438,2021-05,39,-12.508231847608629,-76.68872664764149,795.0,987.0,1047.0,1174.0,0
438,2021-05,40,-12.508231847608629,-76.68868173187728,822.0,1011.0,1098.0,1193.0,0
438,2021-05,41,-12.508231847608629,-76.68863681611307,843.0,1020.0,1124.0,1196.0,0
438,2021-05,42,-12.508231847608629,-76.68859190034887,850.0,989.0,1106.0,1182.0,0
438,2021-05,43,-12.508231847608629,-76.68854698458466,813.0,946.0,1037.0,1163.0,0
438,2021-05,44,-12.508231847608629,-76.68850206882045,773.0,932.0,997.0,1150.0,0
438,2021-05,45,-12.508231847608629,-76.68845715305625,768.0,936.0,1005.0,1141.0,0
438,2021-05,46,-12.508231847608629,-76.68841223729204,788.0,955.0,1025.0,1135.0,0
438,2021-05,47,-12.508231847608629,-76.68836732152783,843.0,1036.0,1130.0,1204.0,0
438,2021-05,48,-12.508231847608629,-76.68832240576363,879.0,1071.0,1180.0,1250.0,0
438,2021-05,49,-12.508231847608629,-76.68827748999942,907.0,1085.0,1211.0,1287.0,0
438,2021-05,50,-12.508231847608629,-76.68823257423522,917.0,1103.0,1242.0,1325.0,0
438,2021-05,51,-12.508231847608629,-76.68818765847101,923.0,1119.0,1234.0,1359.0,0
438,2021-05,52,-12.508231847608629,-76.6881427427068,929.0,1126.0,1235.0,1379.0,0
438,2021-05,53,-12.508231847608629,-76.6880978269426,920.0,1132.0,1269.0,1377.0,0
438,2021-05,54,-12.508231847608629,-76.68805291117839,919.0,1130.0,1267.0,1369.0,0
438,2021-05,55,-12.508231847608629,-76.68800799541418,933.0,1134.0,1266.0,1377.0,0
438,2021-05,56,-12.508231847608629,-76.68796307964998,946.0,1149.0,1296.0,1403.0,0
438,2021-05,57,-12.508231847608629,-76.68791816388578,959.0,1159.0,1314.0,1413.0,0
438,2021-05,58,-12.508231847608629,-76.68787324812158,975.0,1171.0,1319.0,1424.0,0
438,2021-05,59,-12.508231847608629,-76.68782833235737,979.0,1179.0,1315.0,1445.0,0
438,2021-05,60,-12.508231847608629,-76.68778341659316,975.0,1179.0,1328.0,1472.0,0
438,2021-05,61,-12.508231847608629,-76.68773850082896,993.0,1169.0,1355.0,1471.0,0
438,2021-05,62,-12.508231847608629,-76.68769358506475,998.0,1152.0,1336.0,1410.0,0
438,2021-05,63,-12.508231847608629,-76.68764866930054,969.0,1129.0,1276.0,1364.0,0
438,2021-05,64,-12.508231847608629,-76.68760375353634,955.0,1105.0,1241.0,1372.0,0
438,2021-05,65,-12.508231847608629,-76.68755883777213,953.0,1093.0,1245.0,1415.0,0
438,2021-05,66,-12.508231847608629,-76.68751392200792,952.0,1100.0,1229.0,1442.0,0
438,2021-05,67,-12.508231847608629,-76.68746900624372,944.0,1103.0,1216.0,1442.0,0
438,2021-05,68,-12.508231847608629,-76.68742409047951,936.0,1134.0,1229.0,1494.0,0
438,2021-05,69,-12.508231847608629,-76.6873791747153,955.0,1149.0,1265.0,1452.0,0
438,2021-05,70,-12.508231847608629,-76.6873342589511,972.0,1125.0,1282.0,1436.0,0
438,2021-05,71,-12.508231847608629,-76.68728934318689,951.0,1079.0,1244.0,1443.0,0
438,2021-05,72,-12.508231847608629,-76.68724442742268,896.0,1018.0,1154.0,1454.0,0
438,2021-05,73,-12.508231847608629,-76.68719951165848,868.0,1010.0,1090.0,1465.0,0
438,2021-05,74,-12.508231847608629,-76.68715459589427,878.0,1023.0,1104.0,1455.0,0
438,2021-05,75,-12.508231847608629,-76.68710968013006,892.0,1019.0,1121.0,1405.0,0
438,2021-05,76,-12.508231847608629,-76.68706476436586,883.0,1023.0,1118.0,1382.0,0
438,2021-05,77,-12.508231847608629,-76.68701984860165,875.0,1043.0,1146.0,1413.0,0
438,2021-05,78,-12.508231847608629,-76.68697493283744,894.0,1052.0,1168.0,1474.0,0
438,2021-05,79,-12.508231847608629,-76.68693001707325,895.0,1047.0,1160.0,1546.0,0
438,2021-05,80,-12.508231847608629,-76.68688510130904,903.0,1080.0,1173.0,1606.0,0
438,2021-05,81,-12.508231847608629,-76.68684018554484,932.0,1149.0,1241.0,1658.0,0
438,2021-05,82,-12.508231847608629,-76.68679526978063,972.0,1183.0,1315.0,1672.0,0
438,2021-05,83,-12.508231847608629,-76.68675035401643,972.0,1171.0,1337.0,1666.0,0
438,2021-05,84,-12.508276763372836,-76.69043344668131,988.0,1173.0,1421.0,1731.0,0
438,2021-05,85,-12.508276763372836,-76.6903885309171,963.0,1110.0,1363.0,1757.0,0
438,2021-05,86,-12.508276763372836,-76.6903436151529,903.0,1076.0,1285.0,1808.0,0
438,2021-05,87,-12.508276763372836,-76.69029869938869,879.0,1107.0,1323.0,1936.0,0
